sampleID,sex,sample_type,weight,optic_disk_morphology,time_dark_side,cataract
C8501,female,control,20.35,normal,262.0,absent
K20167,female,control,20.36,normal,165.9,absent
K3853,female,control,20.36,normal,182.7,absent
J38011,female,control,20.36,normal,206.7,absent
C5230,female,control,20.36,normal,270.1,absent
R56529,female,control,20.36,normal,180.9,present
K29853,female,control,20.37,normal,148.4,absent
J38007,female,control,20.37,normal,151.7,absent
J35391,female,control,20.37,normal,156.0,absent
K54656,female,control,20.37,normal,186.7,absent
J37930,female,control,20.37,normal,191.0,absent
K24544,female,control,20.38,normal,184.3,absent
C10619,female,control,20.38,normal,206.3,absent
A10849,female,control,20.38,normal,226.4,absent
J73720,female,control,20.38,normal,232.2,absent
C5162,female,control,20.39,normal,243.4,absent
R25864,female,control,20.4,normal,193.6,absent
J54600,female,control,20.4,normal,194.7,absent
A36453,female,control,20.4,normal,197.6,absent
C8983,female,control,20.4,normal,209.3,absent
C9452,female,control,20.4,normal,213.6,absent
J9674,female,control,20.4,normal,232.3,absent
J78110,female,control,20.4,normal,256.8,absent
A36455,female,control,20.41,normal,216.9,absent
J14649,female,control,20.42,normal,207.9,absent
J43546,female,control,20.43,normal,151.3,absent
J44375,female,control,20.43,normal,156.6,absent
J6972,female,control,20.43,normal,186.9,absent
C8066,female,control,20.43,normal,197.7,absent
X43362,female,control,20.43,normal,212.2,absent
K92853,female,control,20.43,normal,239.2,absent
K3912,female,control,20.43,normal,260.5,absent
C6814,female,control,20.44,normal,173.0,absent
R96394,female,control,20.44,normal,194.4,absent
X50986,female,control,20.46,normal,182.1,absent
20120515F-16,female,control,20.46,normal,217.7,absent
K92856,female,control,20.47,normal,118.9,absent
J42434,female,control,20.47,normal,158.6,absent
J64024,female,control,20.47,normal,193.3,absent
X34249,female,control,20.47,normal,206.5,absent
C5946,female,control,20.48,normal,152.6,absent
K51277,female,control,20.48,normal,158.5,absent
J3393,female,control,20.48,normal,178.2,absent
J47549,female,control,20.48,normal,239.3,absent
X31633,female,control,20.49,normal,154.7,absent
J34544,female,control,20.49,normal,173.8,absent
R94874,female,control,20.49,normal,198.2,absent
C11163,female,control,20.49,normal,221.7,absent
C10993,female,control,20.49,normal,277.3,absent
X57573,female,control,20.5,normal,188.5,absent
K48332,female,control,20.5,normal,193.7,absent
J52136,female,control,20.5,normal,214.9,absent
C9450,female,control,20.5,normal,257.6,absent
J73722,female,control,20.51,normal,234.6,absent
J75479,female,control,20.51,normal,247.5,absent
K89478,female,control,20.52,normal,173.0,absent
X7779,female,control,20.52,normal,186.4,absent
K81879,female,control,20.53,normal,166.9,absent
C8981,female,control,20.53,normal,168.4,absent
X11454,female,control,20.53,normal,168.4,absent
J43586,female,control,20.54,normal,179.5,absent
K29850,female,control,20.54,normal,203.0,absent
C10992,female,control,20.54,normal,316.3,absent
K17450,female,control,20.55,normal,221.9,absent
C8741,female,control,20.56,normal,192.3,absent
C10226,female,control,20.56,normal,204.6,absent
R83976,female,control,20.56,normal,214.6,absent
C5232,female,control,20.56,normal,215.6,absent
C8742,female,control,20.56,normal,245.2,absent
K24543,female,control,20.57,normal,164.3,absent
C11395,female,control,20.57,normal,186.3,absent
R10432,female,control,20.57,normal,192.1,absent
J8776,female,control,20.57,normal,209.7,absent
K16671,female,control,20.57,normal,213.4,absent
J35378,female,control,20.58,normal,104.8,absent
R1218,female,control,20.58,normal,155.9,absent
K70486,female,control,20.58,normal,157.7,absent
J54602,female,control,20.58,normal,168.9,absent
C1624,female,control,20.58,normal,266.3,absent
K57815,female,control,20.59,normal,188.5,absent
K53200,female,control,20.59,normal,191.7,absent
K57812,female,control,20.59,normal,193.9,absent
J48814,female,control,20.59,normal,211.9,absent
J57543,female,control,20.59,normal,227.9,absent
K12333,female,control,20.6,normal,150.0,absent
J26952,female,control,20.6,normal,175.2,absent
R51030,female,control,20.6,normal,182.6,absent
J15381,female,control,20.6,normal,200.0,absent
X97924,female,control,20.6,normal,243.2,absent
J44372,female,control,20.61,normal,128.3,absent
K3911,female,control,20.61,normal,175.8,absent
J14648,female,control,20.61,normal,265.4,absent
K11410,female,control,20.61,normal,294.6,absent
C2146,female,control,20.62,normal,171.5,absent
J71673,female,control,20.62,normal,149.7,present
X15900,female,control,20.62,normal,240.3,present
J41088,female,control,20.63,normal,219.9,absent
K79072,female,control,20.64,normal,154.6,absent
C11437,female,control,20.64,normal,182.4,absent
K23153,female,control,20.64,normal,190.9,absent
C5317,female,control,20.64,normal,214.3,absent
K25714,female,control,20.65,normal,129.8,absent
J15380,female,control,20.65,abnormal,144.0,absent
C2143,female,control,20.65,normal,167.2,absent
K13808,female,control,20.65,normal,189.7,absent
J54599,female,control,20.65,normal,216.4,absent
C5050,female,control,20.65,normal,250.3,absent
C5318,female,control,20.66,normal,212.5,absent
J35380,female,control,20.67,normal,101.4,absent
R14375,female,control,20.67,normal,137.5,absent
K36884,female,control,20.67,normal,186.0,absent
J64025,female,control,20.67,normal,197.8,absent
K76397,female,control,20.67,normal,200.5,absent
X84473,female,control,20.67,normal,203.0,absent
J24152,female,control,20.67,normal,243.8,absent
K96330,female,control,20.68,normal,190.7,absent
K420,female,control,20.68,normal,215.7,absent
J15382,female,control,20.69,normal,183.3,absent
C5314,female,control,20.69,normal,184.0,absent
C11396,female,control,20.69,normal,201.7,absent
K24545,female,control,20.69,normal,205.5,absent
R28236,female,control,20.69,normal,218.5,absent
R21021,female,control,20.7,normal,145.8,absent
J36539,female,control,20.7,normal,172.1,absent
J34547,female,control,20.71,normal,149.8,absent
J21203,female,control,20.71,normal,167.9,absent
K78174,female,control,20.71,normal,228.3,absent
K1501,female,control,20.71,normal,244.2,absent
K21276,female,control,20.71,normal,258.7,absent
K3118,female,control,20.71,normal,267.4,absent
R39263,female,control,20.71,normal,271.6,present
C7565,female,control,20.72,normal,161.5,absent
K100419,female,control,20.72,normal,200.6,absent
A10541,female,control,20.72,normal,212.5,absent
K7801,female,control,20.72,normal,241.7,absent
J65526,female,control,20.72,normal,243.6,present
K83413,female,control,20.73,normal,133.6,absent
K5983,female,control,20.73,normal,183.6,absent
K71509,female,control,20.73,normal,186.2,absent
20120823F-3,female,control,20.73,normal,191.7,absent
K5985,female,control,20.73,normal,197.4,absent
K45798,female,control,20.74,normal,179.3,absent
K27998,female,control,20.74,normal,202.0,absent
C7706,female,control,20.74,normal,207.9,absent
K100420,female,control,20.74,normal,215.9,absent
J5207,female,control,20.75,normal,190.6,absent
20120809F-2,female,control,20.75,normal,227.5,absent
C11462,female,control,20.75,normal,232.2,absent
R7809,female,control,20.76,normal,223.5,absent
K10401,female,control,20.76,normal,260.9,absent
20120823F-5,female,control,20.77,normal,144.2,absent
J2657,female,control,20.77,normal,176.8,absent
K26924,female,control,20.78,normal,169.4,absent
R10456,female,control,20.78,normal,177.5,absent
K99251,female,control,20.78,normal,202.1,absent
C5053,female,control,20.78,normal,296.4,absent
J53432,female,control,20.79,normal,150.8,absent
J44371,female,control,20.79,normal,162.2,absent
J36540,female,control,20.79,normal,164.8,absent
20120823F-4,female,control,20.79,normal,194.8,absent
