sampleID,sex,sample_type,weight,hemoglobin,cornea_morphology,grip_strength,vertebrae_morphology,heart_rate_bpm
81Z-87908,female,control,22.3,14.4,right eye abnormal,197.025,normal,752.0
81Z-87909,female,control,22.9,14.1,normal,170.60167,normal,752.0
81Z-87936,male,control,29.7,13.9,normal,164.66566,normal,713.0
81Z-87940,male,control,27.8,13.6,normal,146.66766,normal,756.0
81Z-87941,male,control,25.4,14.3,normal,170.985,normal,722.0
81Z-87942,male,control,26.7,14.3,normal,240.87233,normal,653.0
81Z-87943,male,control,29.5,13.0,normal,188.983,normal,644.0
81Z-87944,male,control,30.9,12.4,normal,174.431,normal,790.0
81Z-87945,male,control,27.5,11.3,right eye abnormal,187.64267,normal,695.0
81Z-87946,female,control,23.6,14.3,normal,148.96533,normal,772.0
81Z-87947,female,control,23.0,13.8,normal,165.24066,normal,744.0
81Z-87948,female,control,24.0,13.0,normal,158.15567,normal,749.0
81Z-88065,male,control,28.4,13.8,normal,246.23367,normal,769.0
81Z-88066,female,control,23.5,13.7,normal,248.72234,normal,786.0
81Z-88067,female,control,22.6,12.9,normal,237.234,normal,739.0
81Z-88068,female,control,22.5,13.5,left eye abnormal,224.02266,normal,814.0
81Z-88089,male,control,28.5,13.5,normal,279.74133,normal,787.0
81Z-88095,female,control,22.0,13.3,normal,189.94034,normal,762.0
81Z-88096,female,control,22.5,14.1,normal,226.70334,normal,775.0
81Z-88141,male,control,29.0,13.4,normal,234.93666,normal,777.0
81Z-88144,male,control,28.8,13.1,normal,216.172,normal,817.0
81Z-88145,male,control,26.3,14.0,normal,264.80634,normal,764.0
81Z-88146,female,control,22.1,14.1,normal,211.95967,normal,760.0
81Z-88151,female,control,22.5,13.8,left eye abnormal,202.195,normal,796.0
